,Portfolio_Return
2026-04-14 11:40:00,-0.00015868266259308318
2026-04-14 11:45:00,2.8525975854829414e-07
2026-04-14 11:50:00,0.00015486890640985186
2026-04-14 11:55:00,-0.00013622319943127272
2026-04-14 12:00:00,-2.0497152847040014e-05
2026-04-14 12:05:00,-0.0002462726992220691
2026-04-14 12:10:00,-0.0002414889793347136
2026-04-14 12:15:00,0.00010269632239750219
2026-04-14 12:20:00,0.0002712745950687089
2026-04-14 12:25:00,2.3554845433945648e-05
2026-04-14 12:30:00,-0.00017925197548221075
2026-04-14 12:35:00,2.688133223829958e-06
2026-04-14 12:40:00,8.986728257071304e-05
2026-04-14 12:45:00,-3.0173241523965972e-05
2026-04-14 12:50:00,-0.0007021895580428553
2026-04-14 12:55:00,-0.0003669942641248234
2026-04-14 13:00:00,0.0005382889076406061
2026-04-14 13:05:00,4.3751811426562086e-05
2026-04-14 13:10:00,-0.00011148176706469038
2026-04-14 13:15:00,0.000349458812963696
2026-04-14 13:20:00,0.0003329461560391214
2026-04-14 13:25:00,5.730182300931586e-05
2026-04-14 13:30:00,0.000233635113410872
2026-04-14 13:35:00,-0.00017970663049871456
2026-04-14 13:40:00,-0.00011572326067866567
2026-04-14 13:45:00,-2.3830737082571716e-05
2026-04-14 13:50:00,-0.00017324738464446937
2026-04-14 13:55:00,-4.868788172495367e-05
2026-04-14 14:00:00,0.00031746892962673866
2026-04-14 14:05:00,0.00036954393549876445
2026-04-14 14:10:00,-0.0002635004082611767
2026-04-14 14:15:00,-0.0007857949659086778
2026-04-14 14:20:00,-0.0008231389006996162
2026-04-14 14:25:00,0.00029090176966224885
2026-04-14 14:30:00,0.00014400788021733105
2026-04-14 14:35:00,0.00040418681130396033
2026-04-14 14:40:00,-0.00019217922548091343
2026-04-14 14:45:00,-0.0001095683641516118
2026-04-14 14:50:00,0.0003369064632777574
2026-04-14 14:55:00,0.0001438379019108924
2026-04-14 15:00:00,0.00017807253543936823
2026-04-14 15:05:00,-0.00014934909766269337
